World Number_Robots Assigner Percentage Time Total_Distance Distance_Robot_0 Distance_Robot_1 Distance_Robot_2 Distance_Robot_3 Distance_Robot_4 Distance_Robot_5
office 2 Auction 95.44 206.3 158.56 83.07 75.49 0.0 0.0 0.0 0.0
office 3 Auction 95.20 290.9 254.90 85.08 14.17 155.65 0.0 0.0 0.0
office 4 Auction 95.03 215.3 294.55 64.20 72.64 69.64 88.07 0.0 0.0
office 2 Hungarian 95.71 257.0 200.04 111.18 88.87 0.0 0.0 0.0 0.0
office 2 Auction 95.14 269.0 172.52 88.56 83.96 0.0 0.0 0.0 0.0
office 3 Hungarian 95.11 138.0 159.33 64.09 30.59 64.65 0.0 0.0 0.0
office 4 Hungarian 95.01 155.8 197.79 50.20 19.98 87.53 40.08 0.0 0.0
office 4 Auction 95.36 135.7 251.84 74.12 61.85 60.21 55.66 0.0 0.0
office 5 Hungarian 95.16 247.7 291.26 69.64 35.28 38.19 70.23 77.93 0.0
office 6 Auction 95.15 180.6 311.27 51.26 40.03 61.72 60.57 15.81 81.89
office 2 Hungarian 95.22 196.8 138.31 62.31 76.00 0.0 0.0 0.0 0.0
office 3 Hungarian 95.15 167.5 216.16 73.79 48.73 93.65 0.0 0.0 0.0
office 3 Auction 96.46 193.5 245.28 88.00 75.43 81.85 0.0 0.0 0.0
office 4 Hungarian 95.60 167.1 197.58 46.32 48.77 49.71 52.78 0.0 0.0
office 4 Auction 96.19 283.4 220.38 102.57 9.70 92.05 16.07 0.0 0.0
office 5 Hungarian 95.19 120.6 164.08 39.50 12.38 31.99 39.82 40.39 0.0
office 3 Stupid 95.16 167.1 198.97 11.73 105.36 81.88 0.0 0.0 0.0
office 4 Stupid 95.87 151.6 231.61 60.75 71.40 21.28 78.19 0.0 0.0
office 5 Stupid 95.67 143.9 246.09 54.64 64.69 18.66 59.26 48.85 0.0
office 6 Stupid 95.43 96.9 191.10 32.69 13.93 33.95 21.64 45.24 43.65
office 2 Stupid 95.12 138.0 122.15 59.22 62.94 0.0 0.0 0.0 0.0
office 3 Stupid 95.32 201.9 287.05 70.20 105.32 111.53 0.0 0.0 0.0
office 4 Stupid 95.19 98.7 153.91 38.17 16.59 50.98 48.18 0.0 0.0
office 5 Stupid 96.01 138.7 253.93 58.80 40.55 46.38 55.36 52.84 0.0
office 6 Stupid 95.12 107.9 171.41 18.30 38.03 43.15 19.78 14.86 37.29
office 2 Stupid 95.02 160.8 141.03 65.49 75.54 0.0 0.0 0.0 0.0
office 3 Stupid 96.16 133.7 164.31 56.13 61.83 46.35 0.0 0.0 0.0
office 4 Stupid 95.19 106.7 171.99 47.10 46.37 39.73 38.79 0.0 0.0
office 5 Stupid 95.06 120.6 186.89 31.07 35.34 46.48 21.93 52.08 0.0
office 6 Stupid 95.63 104.4 191.16 23.82 38.75 39.07 24.91 32.96 31.65
office 3 Hungarian 95.70 174.1 187.26 63.55 52.38 71.33 0.0 0.0 0.0
office 4 Hungarian 95.78 187.5 252.82 57.32 53.15 76.70 65.64 0.0 0.0
office 5 Hungarian 95.11 203.3 221.74 41.41 51.99 9.96 54.93 63.45 0.0
office 2 Hungarian 95.00 198.6 105.17 36.89 68.28 0.0 0.0 0.0 0.0
office 4 Hungarian 95.08 231.10000000000002 201.46 36.18 50.61 54.26 60.41 0.0 0.0
office 6 Hungarian 95.08 280.8 205.13 47.81 32.37 14.64 43.48 30.55 36.27
office 4 Hungarian 95.54 247.7 169.55 40.83 26.99 48.34 53.38 0.0 0.0
office 2 Hungarian 95.05 151.8 112.06 60.65 51.42 0.0 0.0 0.0 0.0
office 4 Hungarian 95.00 232.8 163.42 29.79 36.73 44.31 52.59 0.0 0.0
office 2 Hungarian 95.48 224.1 144.89 47.13 97.76 0.0 0.0 0.0 0.0
office 3 Hungarian 95.02 149.7 126.36 43.88 40.53 41.95 0.0 0.0 0.0
office 4 Hungarian 96.54 178.8 231.82 75.40 11.92 78.16 66.33 0.0 0.0
office 2 Hungarian 96.86 204.9 142.27 58.30 83.96 0.0 0.0 0.0 0.0
office 3 Hungarian 95.04 184.7 147.47 28.94 43.34 75.19 0.0 0.0 0.0
office 2 Auction 95.96 438.5 143.15 137.73 5.41 0.0 0.0 0.0 0.0
office 2 Auction 95.50 356.0 172.21 49.84 122.37 0.0 0.0 0.0 0.0
office 2 Auction 95.66 361.8 202.04 66.10 135.94 0.0 0.0 0.0 0.0
office 2 Auction 95.77 290.3 227.82 99.56 128.26 0.0 0.0 0.0 0.0
office 6 Auction 95.26 212.9 197.52 13.14 12.98 7.80 31.58 80.36 51.66
office 6 Auction 95.06 205.1 257.62 1.41 57.42 50.86 43.33 49.62 54.98
office 6 Auction 95.80 181.8 284.65 54.41 38.17 42.39 51.75 46.23 51.70
office 2 Stupid 95.35 278.0 264.01 108.44 155.57 0.0 0.0 0.0 0.0
office 2 Hungarian 95.20 137.0 113.45 48.13 65.33 0.0 0.0 0.0 0.0
office 3 Stupid 95.61 178.7 180.68 90.06 68.41 22.22 0.0 0.0 0.0
office 3 Hungarian 95.04 175.9 211.78 69.39 73.71 68.68 0.0 0.0 0.0
office 4 Hungarian 95.11 181.5 175.82 58.50 12.48 49.67 55.17 0.0 0.0
office 2 Auction 95.06 265.1 179.44 71.07 108.37 0.0 0.0 0.0 0.0
office 4 Auction 95.24 170.0 183.13 58.89 39.55 27.82 56.88 0.0 0.0
office 4 Auction 95.24 87.8 128.81 30.84 22.43 39.68 35.87 0.0 0.0
office 4 Auction 95.03 101.6 158.51 41.35 34.22 42.65 40.30 0.0 0.0
office 6 Auction 95.29 169.5 242.79 15.58 12.33 42.01 50.72 46.87 75.27
office 6 Auction 95.94 349.90000000000003 384.45 64.16 97.85 7.30 7.19 103.51 104.44
office 2 Stupid 95.25 197.6 145.46 39.14 106.33 0.0 0.0 0.0 0.0
office 3 Stupid 96.42 158.1 233.76 81.86 82.07 69.83 0.0 0.0 0.0
office 3 Hungarian 95.41 168.0 176.80 69.46 44.99 62.35 0.0 0.0 0.0
office 3 Auction 95.02 162.6 151.94 60.28 19.92 71.74 0.0 0.0 0.0
office 4 Stupid 95.78 155.1 146.46 25.12 26.73 41.64 52.96 0.0 0.0
office 4 Auction 95.10 147.9 180.05 43.47 24.60 53.06 58.92 0.0 0.0
office 5 Stupid 95.01 281.5 239.55 8.59 57.36 60.48 47.88 65.24 0.0
big_office 6 Auction 96.48 228.2 375.52 73.53 22.73 100.45 11.71 73.40 93.70
big_office 6 Auction 95.02 142.0 237.94 48.76 34.38 60.36 30.25 4.24 59.95
big_office 6 Auction 95.94 264.1 361.16 3.40 79.86 82.63 4.92 74.47 115.88
big_office 6 Stupid 95.02 164.3 309.36 76.30 23.24 46.85 40.68 50.65 71.63
big_office 6 Hungarian 95.17 168.1 174.47 18.41 16.81 50.96 28.74 21.61 37.94
big_office 2 Stupid 95.42 246.1 220.72 121.98 98.74 0.0 0.0 0.0 0.0
big_office 2 Hungarian 95.08 148.1 103.90 58.24 45.66 0.0 0.0 0.0 0.0
big_office 2 Auction 95.37 268.8 204.61 56.91 147.70 0.0 0.0 0.0 0.0
big_office 3 Stupid 96.52 158.7 200.39 78.85 57.08 64.46 0.0 0.0 0.0
big_office 3 Hungarian 95.22 235.7 249.14 90.35 73.94 84.86 0.0 0.0 0.0
big_office 4 Stupid 95.88 181.9 280.02 64.41 71.57 79.52 64.51 0.0 0.0
big_office 4 Hungarian 95.75 202.3 145.40 53.49 1.41 24.34 66.16 0.0 0.0
big_office 4 Auction 95.35 211.9 278.83 65.39 43.21 87.90 82.34 0.0 0.0
big_office 5 Stupid 95.53 207.6 176.56 21.49 9.74 59.20 64.17 21.95 0.0
big_office 5 Hungarian 95.35 337.4 259.07 35.08 37.86 79.58 42.66 63.88 0.0
big_office 6 Stupid 95.15 275.9 278.59 61.66 10.15 8.81 69.66 69.81 58.51
big_office 6 Hungarian 95.46 332.1 266.39 3.17 38.76 57.29 49.12 51.26 66.78
big_office 3 Stupid 95.01 163.0 214.47 52.73 63.09 98.65 0.0 0.0 0.0
big_office 4 Auction 95.40 189.9 321.24 65.66 75.97 101.31 78.30 0.0 0.0
big_office 4 Auction 96.08 207.4 440.01 108.74 128.43 100.24 102.59 0.0 0.0
big_office 4 Auction 95.08 159.7 254.60 32.01 45.44 66.25 110.89 0.0 0.0
big_office 5 Stupid 95.00 134.7 237.18 23.52 39.55 59.51 71.06 43.55 0.0
big_office 3 Hungarian 95.01 152.8 184.87 33.70 64.81 86.36 0.0 0.0 0.0
big_office 4 Hungarian 95.06 144.0 183.20 38.53 37.32 50.32 57.02 0.0 0.0
big_office 2 Stupid 95.64 209.8 172.48 106.44 66.04 0.0 0.0 0.0 0.0
big_office 4 Hungarian 95.27 127.5 198.28 52.25 42.26 51.92 51.85 0.0 0.0
big_office 4 Hungarian 95.00 164.8 199.87 45.86 38.02 48.78 67.21 0.0 0.0
big_office 5 Auction 95.40 151.1 361.33 73.35 52.90 68.55 76.23 90.29 0.0
big_office 3 Hungarian 95.00 136.7 140.36 59.10 26.34 54.92 0.0 0.0 0.0
big_office 6 Hungarian 95.08 164.3 310.62 43.90 42.10 53.82 41.96 62.32 66.52
big_office 4 Hungarian 95.60 150.0 213.72 66.90 38.06 53.67 55.09 0.0 0.0
big_office 4 Hungarian 95.43 119.8 131.28 22.90 42.51 37.37 28.50 0.0 0.0
big_office 3 Hungarian 95.04 183.9 165.20 43.67 34.52 87.01 0.0 0.0 0.0
big_office 2 Auction 95.06 203.9 120.96 65.08 55.88 0.0 0.0 0.0 0.0
big_office 6 Auction 95.05 208.1 359.25 58.79 52.75 49.87 59.26 67.54 71.04
big_office 3 Auction 95.48 333.9 290.57 37.79 80.59 172.19 0.0 0.0 0.0
big_office 4 Stupid 95.01 256.0 297.34 44.78 65.50 104.87 82.20 0.0 0.0
big_office 4 Stupid 95.37 94.5 163.28 32.36 35.85 49.69 45.38 0.0 0.0
big_office 2 Hungarian 95.02 264.7 222.67 121.04 101.62 0.0 0.0 0.0 0.0
big_office 2 Stupid 95.15 330.6 187.15 41.84 145.31 0.0 0.0 0.0 0.0
big_office 4 Stupid 95.72 171.6 209.72 6.26 38.45 68.93 96.08 0.0 0.0
big_office 5 Stupid 95.13 140.8 284.93 51.42 34.91 51.17 86.36 61.07 0.0
